"","species","Mean","SD","q.025","q.05","q.25","q.75","q.95","q.975","calibration","SP"
"18","Sebastes 3",0.112377926860728,0.000445874369782948,0.111412428986111,0.111702149388091,0.112192806794275,0.112557174284544,0.113107535339351,0.113358707827669,"COM2","Sebastes 3"
"19","zRefSpecies_Ammodytes personatus",0.110471406996043,0.000113533808065563,0.110244458633098,0.110291417074257,0.110401528762118,0.110537736412781,0.110659281091776,0.110711047676805,"COM2","Ammodytes personatus"
"20","Clupea pallasii",0.0905056133422444,0.000276566961054613,0.0899699486988355,0.0900857626007249,0.0903563410784459,0.0906590627469626,0.0909234326283905,0.0910486951983899,"COM3","Clupea pallasii"
"21","Hexagrammos",0.0913002346000644,0.000703840928278643,0.0898542610593261,0.0903174536349115,0.0910352113438637,0.0915778122494193,0.0922769257293072,0.0926745543287113,"COM3","Hexagrammos"
"22","Lepidopsetta",0.0913035161709305,0.000329837021072352,0.0906678841157252,0.0907933608053294,0.0911248374630582,0.0914767792332804,0.0918062569725425,0.0919909767887306,"COM3","Lepidopsetta"
"23","Leptocottus armatus",0.0911336085411266,0.000294099999116781,0.0905592096361148,0.0907024128464501,0.0909833696268398,0.0912846187289552,0.0915675845379419,0.0916953090665948,"COM3","Leptocottus armatus"
"24","Lumpenus sagitta",0.0909786083084241,0.000576366135430551,0.0897166732618788,0.0901403554392398,0.0907562128137454,0.0912149464363461,0.0918059251125941,0.0921364607629507,"COM3","Lumpenus sagitta"
"25","Oncorhynchus gorbuscha",0.0909078473303893,0.000288696014063511,0.0903504739821062,0.0904887671411424,0.0907596806074925,0.0910550529541111,0.0913302795982005,0.0914359229165818,"COM3","Oncorhynchus gorbuscha"
"26","Oncorhynchus keta",0.0899197723670798,0.00031812333250231,0.0892895116321124,0.0894502125457544,0.0897576368882096,0.0900861930887708,0.0904028401936944,0.0905516139426875,"COM3","Oncorhynchus keta"
"27","Oncorhynchus kisutch",0.0902695754062969,0.000622259395507605,0.0889324651091558,0.0893274554876166,0.0900196740393636,0.0905386647676699,0.0911889973718909,0.0915762468764719,"COM3","Oncorhynchus kisutch"
"28","Pleuronectidae 1",0.0912900344863085,0.000327135977619292,0.0906801026446389,0.0908149190084015,0.0911221868529505,0.0914585279715549,0.0917699619157329,0.0919014049797374,"COM3","Pleuronectidae 1"
"29","Sebastes 1",0.0911998203366059,0.000586768705118275,0.0899271696673654,0.0903338203508442,0.0909818871459342,0.0914313883867014,0.0920482350746529,0.0924128453634974,"COM3","Sebastes 1"
"30","Syngnathus leptorhynchus",0.0911913691105296,0.00014112048822571,0.090913064429731,0.0909691408886742,0.0911066473116174,0.091271718074894,0.0914239770249501,0.0914850278065703,"COM3","Syngnathus leptorhynchus"
"31","Gadus",0.127257182476047,0.00014845559389949,0.126979651173966,0.12703177988591,0.127166728630213,0.127341312515628,0.127502860807348,0.127591093785538,"COM4","Gadus"
"32","Limanda aspera",0.127105316981437,0.000150952738470218,0.126815221368193,0.126875011853912,0.127022574557489,0.127183439618167,0.127346500986536,0.12742677689008,"COM4","Pleuronectidae 1"
"33","Oncorhynchus gorbuscha",0.123368341452092,0.000184713241796924,0.123011654526653,0.123072456840485,0.123257041233994,0.123475061675253,0.123676128410128,0.123754137385534,"COM4","Oncorhynchus gorbuscha"
"34","Oncorhynchus keta",0.12334587519858,0.000110139653876601,0.123133196031474,0.123178310467804,0.123285970701672,0.123397607761915,0.123521210285782,0.123582812590567,"COM4","Oncorhynchus keta"
"35","Oncorhynchus kisutch",0.123330502845048,0.000126694952447906,0.123090486756736,0.123138656565994,0.123258930409016,0.123395880017146,0.123528024899332,0.123593629618918,"COM4","Oncorhynchus kisutch"
"36","Oncorhynchus nerka",0.123655477821268,0.000429938021645278,0.122799777454057,0.123104870384472,0.123555221189762,0.123784675791456,0.124188557134317,0.124478794889238,"COM4","Oncorhynchus nerka"
"37","Oncorhynchus tshawytscha",0.124183515719472,0.000439672002114386,0.12325225532901,0.123648931224027,0.124088093820493,0.124312716615946,0.124694713752698,0.12495025354232,"COM4","Oncorhynchus tshawytscha"
"38","Pholis laeta",0.127753787506056,9.98881724979192e-05,0.127572965288297,0.12761062909792,0.127702127862711,0.127799603649918,0.127905273516478,0.127967016445356,"COM4","Pholis laeta"
"39","Blepsias cirrhosus",0.099335361096136,0.000129792632042839,0.0990645808389254,0.0991381383729833,0.0992724320275117,0.0994038824360763,0.0995280387095746,0.0995953457569224,"COM5","Blepsias cirrhosus"
